StartDate,EndDate,Duration,Latitude,Longitude,Age,Sex,Race,ruralurban,Religion,Socioeconomic,workhours,Remote,Relationship_status,Relationship_qual,FOMO_1,FOMO_2,FOMO_3,FOMO_4,FOMO_5,FOMO_6,FOMO_7,FOMO_8,FOMO_9,FOMO_10,FOMO_11,socialhours,posting,social_likes,socialeffort,irl,socialengage,socialinfo,familyclose,friendclose,community,Anxiety,valued_1,valued_2,valued_3,valued_4,FOMO
2024-03-28T14:43:57Z,2024-03-28T14:47:29Z,212,47.6137,-122.3104,20,Male,White,Suburb,60,0,NA,Do not work,Single,NA,2,1,1,1,1,2,2,1,1,1,1,1,NA,NA,NA,5,7,Hobbies,6,3,1,10,81,70,NA,NA,1.3
2024-03-28T14:44:05Z,2024-03-28T14:47:56Z,231,47.6597,-117.4291,19,Female,White,Rural,20,50,20,In person,Dating,5,2,1,1,1,2,1,1,1,1,1,2,3,4,50,4,64,2,Global news,5,2,6,53,43,82,75,43,1.2
2024-03-28T14:44:01Z,2024-03-28T14:48:52Z,290,45.7168,-122.6899,20,Female,White,Urban,35,22,21,In person,Dating,4,4,3,3,2,3,5,4,1,4,2,4,5,NA,33,71,67,10,Global news,3,6,60,63,65,81,72,50,3.1
2024-03-28T14:43:50Z,2024-03-28T14:49:57Z,367,45.5135,-122.5041,20,Male,White,Suburb,0,80,30,In person,Single,NA,4,5,3,2,2,1,4,1,4,1,4,3,2,0,0,10,5,Sports,2,3,0,80,90,90,15,0,2.7
2024-03-28T14:56:32Z,2024-03-28T15:01:08Z,276,41.6021,-93.6124,19,Female,Multiracial,Rural,0,2,20,In person,Partnered,4,3,4,2,1,4,4,4,4,4,3,5,3,2,5,55,93,6,Hobbies,2,4,0,100,82,87,74,53,3.3
2024-03-28T14:47:30Z,2024-03-28T14:52:04Z,273,45.6652,-122.5215,20,Male,White,Suburb,60,15,23,In person,Dating,4,5,5,4,3,3,2,2,1,2,1,4,2,0,0,0,50,4,Sports,3,1,0,60,70,70,80,50,2.8
2024-03-28T14:54:10Z,2024-03-28T15:17:53Z,1423,45.5135,-122.5041,19,Non binary,Multiracial,Suburb,37,110,50,In person,Single,NA,2,1,2,1,2,2,1,1,1,2,2,3,0,30,24,29,5,Global news,6,2,80,70,70,80,60,0,1.5
2024-03-28T15:12:47Z,2024-03-28T15:19:40Z,413,45.4383,-122.6147,18,Female,White,Rural,90,13,12,In person,Single,NA,1,1,5,1,5,4,4,2,4,1,4,2,0,8,0,90,5,Global news,2,1,2,40,100,27,26,2,2.8
2024-03-28T15:59:52Z,2024-03-28T16:04:15Z,262,45.6652,-122.5215,19,Female,White,Suburb,3,200,15,In person,Dating,5,3,2,2,1,2,1,1,1,2,1,2,1,0,100,18,70,1,Local news,12,4,40,80,82,40,84,7,1.6
2024-03-28T16:41:48Z,2024-03-28T16:55:04Z,796,45.6652,-122.5215,27,Female,White,Urban,50,21,32,In person,Partnered,4,3,2,1,2,2,2,3,2,2,2,2,2,1,60,20,70,1,Global news,4,10,NA,40,50,80,75,60,2.1
2024-03-28T17:01:23Z,2024-03-28T17:07:28Z,364,45.6025,-122.5125,29,Female,White,Urban,50,60,40,Remote,Dating,2,3,3,2,1,1,1,2,1,2,3,2,2,2,3,10,65,2,Local news,4,2,0,90,70,70,60,50,1.9
2024-03-28T17:03:46Z,2024-03-28T17:09:07Z,320,47.2109,-122.4147,46,Female,White,Rural,55,46,7,In person,Partnered,3,3,2,2,1,1,3,2,2,3,2,3,2,11,2,12,18,2,Family,4,3,NA,9,10,2,NA,NA,2.1
2024-03-28T17:07:28Z,2024-03-28T17:10:58Z,209,45.4804,-122.5891,34,Female,Multiracial,Urban,0,181,37,In person,Partnered,5,2,2,2,2,2,2,2,3,3,2,4,3,20,64,18,60,10,Friends,1,10,0,35,100,53,73,11,2.2
2024-03-28T17:10:20Z,2024-03-28T17:15:53Z,332,47.4448,-122.1194,28,Female,Multiracial,Suburb,30,145,40,Remote,Partnered,4,2,1,1,1,1,1,3,1,4,1,2,4,0,70,2,96,4,Hobbies,15,2,59,75,100,72,36,0,1.6
2024-03-28T17:13:38Z,2024-03-28T17:16:22Z,164,37.4273,-88.3432,30,Male,Black,Rural,0,30,41,In person,Single,NA,3,3,2,1,1,3,3,2,3,3,3,4,11,15,27,31,7,Friends,0,4,0,48,35,53,55,33,2.4
2024-03-28T17:13:40Z,2024-03-28T17:18:17Z,277,45.5645,-122.6447,33,Female,White,Suburb,0,46,40,Remote,Dating,5,3,3,3,2,2,2,3,2,3,1,3,3,1,30,3,50,3,Friends,3,4,8,67,78,96,66,18,2.4
2024-03-28T17:13:54Z,2024-03-28T17:18:24Z,269,45.4752,-122.5561,29,Female,White,Urban,0,55,36,In person,Single,NA,2,3,4,2,2,1,5,1,5,1,4,2,1,30,25,50,0,Friends,10,15,NA,30,100,100,80,30,2.6
2024-03-28T17:11:58Z,2024-03-28T17:19:09Z,431,47.5364,-122.278,47,Male,Hispanic,Urban,0,50,40,In person,Single,NA,1,1,1,1,2,1,3,1,3,1,1,2,1,79,37,8,0,Friends,1,4,25,0,100,100,100,18,1.5
2024-03-28T17:24:20Z,2024-03-28T17:29:53Z,333,45.5894,-122.7401,28,Female,White,Urban,0,60,40,Remote,Dating,4,2,3,2,1,4,2,2,1,2,2,2,2,1,20,30,30,3,Hobbies,2,8,0,40,30,60,80,40,2.1
2024-03-28T17:35:03Z,2024-03-28T17:40:02Z,299,47.6034,-122.3414,29,Female,White,Rural,19,56,37,In person,Partnered,2,4,2,2,1,3,1,2,1,2,1,2,2,1,NA,10,NA,1,Nothing,1,1,0,19,49,100,75,50,1.9
2024-03-28T17:35:40Z,2024-03-28T17:42:01Z,380,47.6034,-122.3414,28,Female,White,Rural,40,100,40,In person,Partnered,4,3,3,4,2,3,4,4,1,3,2,3,3,1,5,25,50,8,Hobbies,10,8,NA,75,70,80,60,75,2.9
