subject_code,research_site_name,species_common_name,sex,age,housing_name,behavior_name,diet_name,measurement_name,measurement_value,measurement_date,measurement_user_date
Ye-Ch-174,Emory NPRC,Chimpanzee,Female,29,Inside,Social,Chow,Body Weight,118.5,2016-09-03T12:00:00.000Z,2023-03-26T22:40:31.519Z
Ye-Ch-91,Emory NPRC,Chimpanzee,Male,17.25,Inside,Social,Chow,Body Weight,111,1999-03-31T18:00:00.000Z,1999-06-01T05:00:00.000Z
Ye-Ch-102,Emory NPRC,Chimpanzee,Female,24.75,Inside,Social,Chow,Body Weight,108,1993-11-24T18:00:00.000Z,1999-06-01T05:00:00.000Z
Al-Ch-12,Alamogordo Primate Facility,Chimpanzee,Male,31.75,Mixed,Social,Chow,Body Weight,106.5,2007-06-05T05:00:00.000Z,2008-09-12T16:14:21.000Z
Al-Ch-12,Alamogordo Primate Facility,Chimpanzee,Male,31.5,Mixed,Social,Chow,Body Weight,106.5,2007-03-08T06:00:00.000Z,2008-09-12T16:14:21.000Z
Al-Ch-32,Alamogordo Primate Facility,Chimpanzee,Male,24.25,Mixed,Social,Chow,Body Weight,105.5,2007-03-29T05:00:00.000Z,2008-09-12T16:14:23.000Z
Al-Ch-32,Alamogordo Primate Facility,Chimpanzee,Male,23,Mixed,Social,Chow,Body Weight,105,2005-12-12T06:00:00.000Z,2008-04-07T16:19:10.000Z
Ye-Ch-28,Emory NPRC,Chimpanzee,Female,31.25,Inside,Social,Chow,Body Weight,104.8,1997-02-04T18:00:00.000Z,1999-06-01T05:00:00.000Z
Al-Ch-12,Alamogordo Primate Facility,Chimpanzee,Male,32.5,Mixed,Social,Chow,Body Weight,104.5,2008-03-11T05:00:00.000Z,2008-09-12T16:14:21.000Z
Al-Ch-12,Alamogordo Primate Facility,Chimpanzee,Male,32,Mixed,Social,Chow,Body Weight,103,2007-09-06T05:00:00.000Z,2008-09-12T16:14:21.000Z
Al-Ch-32,Alamogordo Primate Facility,Chimpanzee,Male,24.25,Mixed,Social,Chow,Body Weight,102,2007-06-01T05:00:00.000Z,2008-09-12T16:14:23.000Z
Al-Ch-12,Alamogordo Primate Facility,Chimpanzee,Male,31.5,Mixed,Social,Chow,Body Weight,102,2007-04-04T05:00:00.000Z,2008-09-12T16:14:21.000Z
Al-Ch-12,Alamogordo Primate Facility,Chimpanzee,Male,32.5,Mixed,Social,Chow,Body Weight,102,2008-05-01T05:00:00.000Z,2008-09-12T16:14:21.000Z
Ye-Ch-28,Emory NPRC,Chimpanzee,Female,31.25,Inside,Social,Chow,Body Weight,101.8,1996-12-16T18:00:00.000Z,1999-06-01T05:00:00.000Z
Al-Ch-13,Alamogordo Primate Facility,Chimpanzee,Male,23.25,Mixed,Social,Chow,Body Weight,101.6,1998-07-24T05:00:00.000Z,2008-10-03T17:28:21.000Z
Ye-Ch-20,Emory NPRC,Chimpanzee,Female,33,Inside,Social,Chow,Body Weight,101.5,1991-02-27T18:00:00.000Z,1999-06-01T05:00:00.000Z
Al-Ch-78,Alamogordo Primate Facility,Chimpanzee,Female,20,Mixed,Social,Chow,Body Weight,101,2009-05-07T12:00:00.000Z,2021-03-25T12:05:49.319Z
Al-Ch-61,Alamogordo Primate Facility,Chimpanzee,Female,22.75,Mixed,Social,Chow,Body Weight,101,2009-02-24T12:00:00.000Z,2021-03-11T22:01:38.140Z
Al-Ch-32,Alamogordo Primate Facility,Chimpanzee,Male,23.5,Mixed,Social,Chow,Body Weight,101,2006-06-15T05:00:00.000Z,2008-04-07T16:19:10.000Z
Al-Ch-32,Alamogordo Primate Facility,Chimpanzee,Male,18.75,Mixed,Social,Chow,Body Weight,100.7,2001-11-13T06:00:00.000Z,2008-10-03T17:28:39.000Z
Al-Ch-12,Alamogordo Primate Facility,Chimpanzee,Male,32.25,Mixed,Social,Chow,Body Weight,100.5,2008-01-15T06:00:00.000Z,2008-09-12T16:14:21.000Z
Al-Ch-12,Alamogordo Primate Facility,Chimpanzee,Male,32.75,Mixed,Social,Chow,Body Weight,100.5,2008-06-30T05:00:00.000Z,2008-09-12T16:14:21.000Z
Al-Ch-12,Alamogordo Primate Facility,Chimpanzee,Male,32.75,Mixed,Social,Chow,Body Weight,100.5,2008-07-11T05:00:00.000Z,2008-09-12T16:14:21.000Z
Al-Ch-32,Alamogordo Primate Facility,Chimpanzee,Male,25.5,Mixed,Social,Chow,Body Weight,100.5,2008-06-11T05:00:00.000Z,2008-09-12T16:14:23.000Z
Al-Ch-96,Alamogordo Primate Facility,Chimpanzee,Female,9.5,Mixed,Social,Chow,Body Weight,100.2,1995-02-16T06:00:00.000Z,2011-08-29T22:43:01.000Z
Al-Ch-12,Alamogordo Primate Facility,Chimpanzee,Male,32.25,Mixed,Social,Chow,Body Weight,100,2007-12-06T06:00:00.000Z,2008-09-12T16:14:21.000Z
Hv-Ch-5,Henry Vilas Zoo,Chimpanzee,Male,13.75,Mixed,Social,Chow,Body Weight,100,2003-09-10T12:00:00.000Z,2023-11-03T15:31:28.791Z
