subject_code,research_site_name,species_common_name,sex,age,housing_name,behavior_name,diet_name,measurement_name,measurement_value,measurement_date,measurement_user_date
Hd-Lg-13,Henry Doorly Zoo,Lar gibbon,Female,22.75,Mixed,Social,Chow,Body Weight,11.7,2022-04-17T12:00:00.000Z,2022-07-29T23:16:16.948Z
Hd-Lg-13,Henry Doorly Zoo,Lar gibbon,Female,22.75,Mixed,Social,Chow,Body Weight,11.25,2022-03-10T12:00:00.000Z,2022-07-29T23:16:17.003Z
Hd-Lg-7,Henry Doorly Zoo,Lar gibbon,Male,22,Mixed,Social,Chow,Body Weight,10.89,2008-05-05T12:00:00.000Z,2022-07-29T23:16:13.624Z
Hd-Lg-7,Henry Doorly Zoo,Lar gibbon,Male,23,Mixed,Social,Chow,Body Weight,10.89,2009-05-27T12:00:00.000Z,2022-07-29T23:16:13.522Z
Hd-Lg-13,Henry Doorly Zoo,Lar gibbon,Female,22.5,Mixed,Social,Chow,Body Weight,10.82,2022-02-06T12:00:00.000Z,2022-07-29T23:16:17.062Z
Hd-Lg-13,Henry Doorly Zoo,Lar gibbon,Female,22.25,Mixed,Social,Chow,Body Weight,10.58,2021-11-11T12:00:00.000Z,2022-07-29T23:16:17.171Z
Hd-Lg-13,Henry Doorly Zoo,Lar gibbon,Female,22,Mixed,Social,Chow,Body Weight,10.47,2021-07-24T12:00:00.000Z,2022-07-29T23:16:17.280Z
Hd-Lg-13,Henry Doorly Zoo,Lar gibbon,Female,21.75,Mixed,Social,Chow,Body Weight,10.46,2021-05-27T12:00:00.000Z,2022-07-29T23:16:17.351Z
Hd-Lg-13,Henry Doorly Zoo,Lar gibbon,Female,22.5,Mixed,Social,Chow,Body Weight,10.42,2021-12-16T12:00:00.000Z,2022-07-29T23:16:17.116Z
Hd-Lg-13,Henry Doorly Zoo,Lar gibbon,Female,22,Mixed,Social,Chow,Body Weight,10.4,2021-08-23T12:00:00.000Z,2022-07-29T23:16:17.224Z
Hd-Lg-7,Henry Doorly Zoo,Lar gibbon,Male,22.25,Mixed,Social,Chow,Body Weight,10.25,2008-10-06T12:00:00.000Z,2022-07-29T23:16:13.573Z
Hd-Lg-13,Henry Doorly Zoo,Lar gibbon,Female,21.75,Mixed,Social,Chow,Body Weight,10.09,2021-05-08T12:00:00.000Z,2022-07-29T23:16:17.442Z
