subject_code,research_site_name,species_common_name,sex,age,housing_name,behavior_name,diet_name,measurement_name,measurement_value,measurement_date,measurement_user_date
Hd-Go-18,Henry Doorly Zoo,Western lowland gorilla,Male,12.75,Mixed,Social,Chow,Body Weight,272.61,1991-11-19T12:00:00.000Z,2022-05-26T14:10:57.921Z
Hd-Go-26,Henry Doorly Zoo,Western lowland gorilla,Male,12.5,Mixed,Social,Chow,Body Weight,261.27,1968-08-15T12:00:00.000Z,2022-05-26T14:11:33.517Z
Hd-Go-18,Henry Doorly Zoo,Western lowland gorilla,Male,13.75,Mixed,Social,Chow,Body Weight,251.74,1992-09-26T12:00:00.000Z,2022-05-26T14:10:57.814Z
Hd-Go-18,Henry Doorly Zoo,Western lowland gorilla,Male,14.25,Mixed,Social,Chow,Body Weight,250,1993-04-15T12:00:00.000Z,2022-05-26T14:10:57.747Z
Na-Go-1,Smithsonian National Zoological Park,Western lowland gorilla,Male,15.5,Unknown,Mixed,Other,Body Weight,249.48,1969-09-03T12:00:00.000Z,2020-09-14T20:04:04.994Z
Hd-Go-18,Henry Doorly Zoo,Western lowland gorilla,Male,13.5,Mixed,Social,Chow,Body Weight,247.66,1992-09-10T12:00:00.000Z,2022-05-26T14:10:57.861Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,13.25,Mixed,Social,Chow,Body Weight,245,2010-09-14T12:00:00.000Z,2022-05-26T14:10:36.506Z
Hd-Go-24,Henry Doorly Zoo,Western lowland gorilla,Male,22,Mixed,Social,Chow,Body Weight,234.1,2007-02-14T12:00:00.000Z,2022-05-26T14:11:29.061Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,24.75,Mixed,Social,Chow,Body Weight,231.33,2022-02-23T12:00:00.000Z,2022-05-26T14:10:35.016Z
Na-Go-10,Smithsonian National Zoological Park,Western lowland gorilla,Male,18.5,Unknown,Mixed,Other,Body Weight,226.35,1990-12-24T06:00:00.000Z,2011-03-08T22:52:31.000Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,14.5,Mixed,Social,Chow,Body Weight,224.6,2012-01-17T12:00:00.000Z,2022-05-26T14:10:36.463Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,24.75,Mixed,Social,Chow,Body Weight,221.81,2022-04-13T12:00:00.000Z,2022-05-26T14:10:34.951Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,11.75,Mixed,Social,Chow,Body Weight,221,2009-04-28T12:00:00.000Z,2022-05-26T14:10:36.540Z
Ye-Go-5,Emory NPRC,Western lowland gorilla,Male,24.25,Mixed,Social,Other,Body Weight,221,1988-04-11T17:00:00.000Z,1999-06-01T05:00:00.000Z
Ye-Go-5,Emory NPRC,Western lowland gorilla,Male,22.5,Mixed,Social,Other,Body Weight,220,1986-05-07T17:00:00.000Z,1999-06-01T05:00:00.000Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,25,Mixed,Social,Chow,Body Weight,219.54,2022-05-16T12:00:00.000Z,2022-05-26T14:10:34.919Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,20.25,Mixed,Social,Chow,Body Weight,219.08,2017-09-14T12:00:00.000Z,2022-05-26T14:10:36.246Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,24.75,Mixed,Social,Chow,Body Weight,218.63,2022-04-09T12:00:00.000Z,2022-05-26T14:10:34.983Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,19.75,Mixed,Social,Chow,Body Weight,218,2017-04-30T12:00:00.000Z,2022-05-26T14:10:36.306Z
Na-Go-10,Smithsonian National Zoological Park,Western lowland gorilla,Male,18.5,Unknown,Mixed,Other,Body Weight,217.8,1991-01-01T06:00:00.000Z,2011-03-08T22:52:31.000Z
Hd-Go-26,Henry Doorly Zoo,Western lowland gorilla,Male,12.75,Mixed,Social,Chow,Body Weight,217.72,1968-11-26T12:00:00.000Z,2022-05-26T14:11:33.477Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,19.75,Mixed,Social,Chow,Body Weight,217.54,2017-04-27T12:00:00.000Z,2022-05-26T14:10:36.344Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,22.5,Mixed,Social,Chow,Body Weight,217.27,2020-01-30T12:00:00.000Z,2022-05-26T14:10:35.480Z
Ye-Go-5,Emory NPRC,Western lowland gorilla,Male,22.25,Mixed,Social,Other,Body Weight,217,1986-04-09T18:00:00.000Z,1999-06-01T05:00:00.000Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,24.5,Mixed,Social,Chow,Body Weight,216.36,2022-01-04T12:00:00.000Z,2022-05-26T14:10:35.048Z
Hd-Go-10,Henry Doorly Zoo,Western lowland gorilla,Male,20.25,Mixed,Social,Chow,Body Weight,216.36,2017-09-24T12:00:00.000Z,2022-05-26T14:10:36.204Z
